Pesoh,Cinturah,,,,
68.15,85.5,,,,
62,75.8,,,,
37.775,75.2,,,,
52,76.4,,,,
26.125,55.2,,,,
51.1,74.4,,,,
64.9,80.5,,,,
40.225,69.8,,,,
52.1,66.85,,,,
48.675,70.2,,,,
54.7,71.85,,,,
44.825,62.75,,,,
56,86.45,,,,
35.95,65.5,,,,
31.2,64.3,,,,
30.45,63.2,,,,
50.55,74.5,,,,
48.8,82.65,,,,
44.3,72.25,,,,
51.05,76.4,,,,
39.225,66.5,,,,
29.4,63,,,,
52.8,92.05,,,,
34.75,65.05,,,,
68.65,90.2,,,,
62.8,73.7,,,,
31.8,61.8,,,,
83.35,99.1,,,,
26.075,53.1,,,,
30.5,60.35,,,,
38.85,62.5,,,,
78.25,98.9,,,,
24.05,56.5,,,,
55.25,69.8,,,,
60.35,77.25,,,,
51,73.1,,,,
49.825,80,,,,
52.7,73.1,,,,
30.1,64.4,,,,
42.25,62,,,,
30.6,58.1,,,,
54,87.5,,,,
74.6,104,,,,
45.55,77.85,,,,
72.8,84.4,,,,
54.5,72,,,,
49.6,69.3,,,,
50.25,73.3,,,,
27.5,57,,,,
32.075,65.7,,,,
102,119.55,,,,
50.75,71.95,,,,
77.6,98.3,,,,
31.6,62,,,,
72.25,101.1,,,,
59.85,86.5,,,,
61,99.1,,,,
51.55,75.3,,,,
44.875,62.9,,,,
34.25,62.4,,,,
51.2,71.9,,,,
67.5,90,,,,
35.475,65,,,,
50.7,86,,,,
82,100.8,,,,
47.825,68.8,,,,
35.475,70.2,,,,
70.05,83.8,,,,
40.325,68.2,,,,
77.7,96.25,,,,
58.7,94.2,,,,
36.65,63.8,,,,
32.5,58.1,,,,
35.275,60.95,,,,
51.6,80.2,,,,
64.7,75.5,,,,
68.6,89.55,,,,
55.75,78,,,,
40.3,70.6,,,,
105.15,113.9,,,,
32.2,65.15,,,,
56,72.2,,,,
68.4,78,,,,
64.1,68.9,,,,
29.65,60.55,,,,
27.35,55,,,,
64.4,89,,,,
82.2,88.25,,,,
56.3,76.2,,,,
43.975,85,,,,
52.9,68.7,,,,
28.75,58.15,,,,
61.85,91.35,,,,
60.95,90.3,,,,
59.55,83.85,,,,
73.8,81.25,,,,
57.3,68.05,,,,
39.1,66.5,,,,
56.1,71,,,,
76.2,102.5,,,,
66.7,85.5,,,,
53.25,82.4,,,,
67.75,91.15,,,,
58.35,67.75,,,,
59.1,78.2,,,,
58.6,75.8,,,,
52,82,,,,
51.625,65,,,,
50.3,68.6,,,,
33.25,59.1,,,,
41.65,66.5,,,,
67.05,81.35,,,,
59.7,71.4,,,,
50.3,61.7,,,,
29.1,61.7,,,,
27.95,58.5,,,,
82.2,101,,,,
50.4,69,,,,
74.4,99.25,,,,
50.405,67.55,,,,
29.3,62.3,,,,
54.525,71.95,,,,
69.75,92.9,,,,
44.825,71.45,,,,
58.55,71,,,,
58.6,75.7,,,,
36.3,66,,,,
47.7,72.3,,,,
57.45,79,,,,
43.8,70.15,,,,
33.825,62.3,,,,
52.15,70.3,,,,
85.1,106,,,,
60.1,78.2,,,,
51.8,67,,,,
30.275,54.8,,,,
41.7,71.6,,,,
75.95,101.1,,,,
29.875,61,,,,
70.15,91.5,,,,
36.6,66.5,,,,
59.3,81,,,,
48.75,70.05,,,,
48.6,77,,,,
62.95,82,,,,
34.95,65.65,,,,
36.075,64,,,,
75.3,94.45,,,,
36.5,63.5,,,,
30.05,58.5,,,,
91.9,112,,,,
57.5,77.25,,,,
32.7,57.6,,,,
40.95,62.2,,,,
55.5,66.35,,,,
47.45,86,,,,
53.4,76.7,,,,
53.05,86.5,,,,
57.2,74.4,,,,
43.475,73.05,,,,
56.55,78.05,,,,
42.35,73.4,,,,
34.6,58.45,,,,
69.3,99,,,,
40.4,70.3,,,,
53.2,69.9,,,,
