Pesom,Cinturam,,,,
123.5,130.5,,,,
70.95,105,,,,
36.4,60.05,,,,
35.35,58.05,,,,
43.55,,,,,
79.95,104.55,,,,
46.125,67.4,,,,
66.5,100.75,,,,
66.75,85,,,,
37.95,56.45,,,,
29.325,57.9,,,,
72.1,110.25,,,,
36.025,68.45,,,,
25.35,59.3,,,,
74,106.7,,,,
60.525,76.05,,,,
65.8,92,,,,
45.7,79.2,,,,
40.325,69.4,,,,
56.55,,,,,
41.5,,,,,
57.5,82,,,,
33.625,60,,,,
71.345,102.25,,,,
40.275,61.5,,,,
66.8,85.2,,,,
61.5,91.4,,,,
81.5,88.2,,,,
51.65,83,,,,
66.5,91.3,,,,
73.1,99.15,,,,
53.45,84.1,,,,
40.575,64.6,,,,
92.375,110,,,,
54.5,79,,,,
56.5,78,,,,
60.15,98.1,,,,
49.545,75.1,,,,
106.75,127.95,,,,
52.55,75.6,,,,
52.775,,,,,
44.25,71.5,,,,
47.8,81.1,,,,
55.7,85.05,,,,
59.5,86.7,,,,
46.725,65.7,,,,
62.2,83.4,,,,
72.25,96.9,,,,
29.95,62,,,,
67.2,86.15,,,,
65.75,91.6,,,,
45.3,71,,,,
59.5,87.6,,,,
38.1,59.6,,,,
38.65,63.1,,,,
57,222.22,,,,
26.775,60.55,,,,
61.9,79.8,,,,
53.85,68.25,,,,
50.15,71.15,,,,
61.15,90.3,,,,
37.075,59.9,,,,
60,81,,,,
80.6,79.2,,,,
58.6,75.8,,,,
54.2,87.15,,,,
27.65,55.2,,,,
57,,,,,
49.55,82.9,,,,
39.05,71.4,,,,
66.6,,,,,
94.3,98.2,,,,
64.55,90.5,,,,
39.825,67,,,,
66.9,92.6,,,,
44.35,70.35,,,,
49.275,77,,,,
111.75,131.8,,,,
45.725,66.4,,,,
49.675,71.3,,,,
57.45,87.55,,,,
43.05,85,,,,
61.9,82.9,,,,
101.7,115.2,,,,
62.05,,,,,
47.3,82,,,,
52.85,72.2,,,,
46.5,87.3,,,,
51.9,84.7,,,,
60.9,81.4,,,,
70,91.7,,,,
26.85,54.9,,,,
65.45,78.4,,,,
50.1,71.7,,,,
27.25,55.1,,,,
58.9,81.5,,,,
61.3,82,,,,
54.65,82.2,,,,
47.2,74,,,,
62.25,,,,,
72,82.15,,,,
35.4,64.35,,,,
76.8,97,,,,
31.375,57.55,,,,
25.55,55.6,,,,
61.05,85.5,,,,
43.725,63,,,,
64.35,82.4,,,,
64.75,74.75,,,,
67,90.85,,,,
72.9,98.3,,,,
48.25,77.4,,,,
53.3,,,,,
65.45,89.5,,,,
52.85,86.5,,,,
34.85,63.45,,,,
65.625,96.3,,,,
53.7,81,,,,
57.55,77,,,,
49.4,73.5,,,,
63.6,,,,,
66.55,79.2,,,,
69.4,85.4,,,,
73.85,102.1,,,,
49.7,67.65,,,,
66.4,96.45,,,,
61.3,89.7,,,,
32.425,58.6,,,,
78.85,103.65,,,,
40.225,71,,,,
59.05,78.6,,,,
54.85,71.75,,,,
80.8,92.15,,,,
45.8,67,,,,
34,68.3,,,,
51.6,68,,,,
29.65,59.5,,,,
68.45,81.8,,,,
60.4,89.85,,,,
68.05,83,,,,
50.1,83,,,,
44.825,70.6,,,,
57.55,79.35,,,,
63.7,87.5,,,,
59.25,81.9,,,,
40.3,60.5,,,,
53.4,81.45,,,,
55.2,70,,,,
47.55,66,,,,
50.95,78,,,,
66.45,95.7,,,,
52.2,,,,,
40.475,66.9,,,,
64.85,83,,,,
85.15,99.5,,,,
62.1,,,,,
102.4,120,,,,
53.95,66.8,,,,
63.35,84.8,,,,
52.4,76.5,,,,
69.4,95.2,,,,
68.15,94.4,,,,
68.55,83.8,,,,
30.025,56.8,,,,
44.85,70,,,,
60.5,89.9,,,,
53.2,78.6,,,,
85.75,96.1,,,,
84.15,112.5,,,,
49.55,71.1,,,,
68.5,,,,,
42.025,64.9,,,,
50.2,65,,,,
39.525,65.4,,,,
46.025,70.45,,,,
77.35,94.9,,,,
59.525,81.55,,,,
55.95,75.65,,,,
56.45,82.1,,,,
30.575,58.8,,,,
67.1,76.9,,,,
37.7,62.5,,,,
58.6,84.6,,,,
45.15,67.2,,,,
56.35,76.6,,,,
78.5,65.4,,,,
60.4,102.4,,,,
53.95,76.9,,,,
59.65,86.9,,,,
33.65,67.75,,,,
30.55,62.4,,,,
50.95,92.2,,,,
48.375,68.7,,,,
64.7,91.3,,,,
82.8,95,,,,
31.4,58.3,,,,
32.81,59.8,,,,
44.2,73.1,,,,
58.3,76.5,,,,
61.45,,,,,
45.85,71.2,,,,
46.875,,,,,
78.15,97.35,,,,
65.3,87.55,,,,
63.15,85.2,,,,
56.7,86.85,,,,
57.7,86.6,,,,
26.9,53.6,,,,
63.8,79.75,,,,
60.1,87.5,,,,
45.975,77.45,,,,
84.1,99.3,,,,
42.025,72.65,,,,
49.55,72.95,,,,
55.3,95.3,,,,
35.05,63.1,,,,
50.8,81.8,,,,
56.9,74.5,,,,
64.2,74,,,,
46.775,70,,,,
55.9,73.9,,,,
51.15,72.35,,,,
38.1,64.1,,,,
77.65,99.3,,,,
52.7,78.4,,,,
52.45,72.95,,,,
56.8,87.6,,,,
42.9,68.2,,,,
34.25,,,,,
53.3,81.25,,,,
59.3,89.4,,,,
45.7,67.7,,,,
56.8,86,,,,
79.4,102.1,,,,
55.45,83.7,,,,
72.95,102.7,,,,
74.7,91.9,,,,
107.5,143.2,,,,
68,92,,,,
39.375,,,,,
55.6,83.7,,,,
37.2,69.8,,,,
59.3,87,,,,
51.6,77.6,,,,
42.975,71,,,,
44.725,69.15,,,,
56.4,81.3,,,,
81.4,100,,,,
38.175,63.3,,,,
32.625,58.4,,,,
36.125,62.8,,,,
44.45,69.3,,,,
55.3,79.65,,,,
70.15,92.1,,,,
57,76.25,,,,
56.05,77.3,,,,
55.1,77.8,,,,
57.9,82,,,,
58.4,,,,,
61.4,87.5,,,,
57.3,73.9,,,,
58.3,85.2,,,,
64.5,90.1,,,,
28.275,55.25,,,,
70.4,,,,,
54.35,87.4,,,,
62.85,75,,,,
27.325,58.3,,,,
62.3,84.9,,,,
44.15,71,,,,
45,72.1,,,,
50.1,79.15,,,,
54.8,88.15,,,,
46.85,80.15,,,,
58.5,83.45,,,,
48.225,70,,,,
62.8,82,,,,
31.05,61.5,,,,
39,75,,,,
53.45,74,,,,
51.7,73.1,,,,
81.85,96.55,,,,
